function,db,func_child_cnt,func_child,table_child_cnt,table_child
onelink_get_app_launch_table,Consumer,5,"['onelink_is_module_event_valid', 'onelink_map_module_to_product_name', 'onelink_map_module_to_destination', 'onelink_map_additional_info_to_one_link_info', 'Product_Name']",2,"['telemetry_collector', 'tmc_user']"
Func_RI_UBT_t,VisionOne,5,"['TRI_get_enabled_data_source_detail', 'TRI_get_enabled_data_source_count', 'TRI_get_enter_page_metrics_unpivot', 'Func_V1_Accumulated_Cus', 'TRI_get_security_playbook_metrics']",1,['trilogyDataAPI']
onelink_get_red_alert_table,Consumer,5,"['onelink_get_web_click_table', 'onelink_get_app_launch_table', 'onelink_get_query_parameter_value_from_url', 'onelink_get_platform', 'Product_Name']",1,['telemetry_collector']
onelink_get_app_launch_table_from_app_information,Consumer,5,"['onelink_fix_additional_info', 'onelink_get_query_parameter_value_from_url', 'onelink_map_prod_url_to_destination', 'onelink_fix_additional_info_for_app_information', 'Product_Name']",2,"['telemetry_collector', 'tmc_user']"
Tree_View_Workbench,VisionOne,5,"['XDR_created_WB', 'XDR_get_decisive_response', 'XDR_visit_WB', 'XDR_get_workbench_investigate', 'XDR_touched_WB_base']",0,[]
Tree_View_Workbench_bak,VisionOne,5,"['XDR_created_WB', 'XDR_get_decisive_response', 'XDR_visit_WB', 'XDR_get_workbench_investigate', 'XDR_touched_WB_base']",0,[]
ZTSA_ZTNA_DebugV2,VisionOne,4,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'CLP_WHO_USE_ZTSA', 'ZTSA_ZTNA_Debug_V1']",2,"['sase_tdl', 'xdr_pendo_raw_events']"
CES2_XDR_Threat_Investigation,VisionOne,4,"['XDR_visit_DIR_Apps', 'XDR_investigate_DIR_Apps', 'XDR_adv_features_DIR_Apps', 'XDR_touched_DIR_Apps']",1,['xdr_pendo_raw_events']
Tree_View_OAT,VisionOne,4,"['XDR_get_decisive_response', 'XDR_visit_OAT', 'XDR_get_OAT_investigate', 'XDR_touched_OAT']",0,[]
XDR_visit_DIR_Apps,VisionOne,4,"['slog_ubtaudit', 'XDR_visit_WB', 'XDR_visit_OAT', 'XDR_visit_Search']",0,[]
Tree_View_Search,VisionOne,4,"['XDR_get_decisive_response', 'XDR_get_search_investigate', 'XDR_visit_Search', 'XDR_adv_features_Search']",0,[]
Tree_View_Executive_Dashboard_bak_0223,VisionOne,4,"['xdr_matomo_events', 'Func_V1_Accumulated_Cus', 'DVASS_Get_UI_Interaction', 'Func_pendo_track_type_mapping']",1,['xdr_pendo_events_flattened']
NEW_ZTSA_customers_30d_temp,VisionOne,4,"['CLP_WHO_VISIT_V1', 'CLP_WHO_VISIT_ZTSA', 'CLP_WHO_DEPLOY_ZTSA', 'CLP_WHO_USE_ZTSA']",2,"['sase_tdl', 'CLP_Account_License']"
REPORT_V1_RI,VisionOne,4,"['CLP_WHO_VISIT_ZTRI_DAILY', 'CLP_WHO_INUSE_ZTRI_DAILY', 'CLP_WHO_VISIT_ZTRI', 'CLP_WHO_INUSE_ZTRI']",0,[]
