function,table_child
Func_CLP_Account_CES_Backup_20220218,CLP_Account_License_Daily
Func_CLP_Account_CES_Backup_20220218,CLP_Account_License
Func_CLP_Account_CES_Backup_20220218,xdr_pendo_events_flattened
ZTSA_ZTNA_Debug_V1,xdr_xbc_agent_run_result
ZTSA_ZTNA_Debug_V1,sase_tdl
ZTSA_ZTNA_Debug_V1,xdr_endpoint_agent
ZTSA_ZTNA_Debug_V1,xdr_pendo_events_flattened
Func_CLP_Account_CES_Full_Backup_20220218,CLP_Account_UBT_Daily
Func_CLP_Account_CES_Full_Backup_20220218,CLP_Account_License_Daily
Func_CLP_Account_CES_Full_Backup_20220218,CLP_Account_License
Func_CLP_Account_CES_Full_Backup_20220218,xdr_pendo_events_flattened
ZTSA_ZTNA_Debug,xdr_xbc_agent_run_result
ZTSA_ZTNA_Debug,sase_tdl
ZTSA_ZTNA_Debug,xdr_endpoint_agent
ZTSA_ZTNA_Debug,xdr_pendo_events_flattened
CLP_WHO_USE_ZTSA,sase_tdl
CLP_WHO_USE_ZTSA,dataLakeMetrics
Vision_One_Account_Summary_v2,CLP_Account_UBT
Vision_One_Account_Summary_v2,CLP_Account_License
Vision_One_Account_Summary_v2,V1_Engagement_Score_v2
NEW_ZTSA_deployed_Customer_seat_range,CLP_Account_License
AffirmTrust_Impacted_Customer,Dim_Region_BU
AffirmTrust_Impacted_Customer,Fact_Sold_Output_Data
AffirmTrust_Impacted_Customer,Dim_Product
AffirmTrust_Impacted_Customer,Dim_Customer_Info
AffirmTrust_Impacted_Customer,DS_Feedback_Main_Monthly
R2211SecurityReport,telemetry_collector_ti
SWG_customer_usage,CLP_Account_License
GET_ATTACK_PROTECTION_LATER,sase_tdl
Expired_Customer,ARL_NABU_Opportunity
Expired_Customer,SCH_Sales_Rep
Expired_Customer,ARL_NABU_Opportunity_Header
V1_Growth_Hypothesis_Customer_old,V1_Growth_Pypothesis_Support_Case_Raw_Data
V1_Growth_Hypothesis_Customer_old,V1_Growth_Pypothesis_Raw_Data
V1_Growth_Hypothesis_Customer_old,V1_user_account
V1_Growth_Hypothesis_Customer_old,CLP_Account_UBT_Daily
V1_Growth_Hypothesis_Customer_old,V1_Navigator_Guide_Customer
V1_Growth_Hypothesis_Customer_old,Account_Intelligence
V1_Growth_Hypothesis_Customer_old,V1_Navigator_Guide_Questions
V1_Growth_Hypothesis_Customer_old,CLP_Account_License
V1_Growth_Hypothesis_Customer_old,cas_product_feedback
GET_ZTRI_SENSOR_LOGS_V2,dataLakeMetrics
Reports_Overview_Funnel,sase_tdl
BIF_email_sensor_daily_snapshot_20220325_backup_before_new_logic,cas_product_feedback
legalshield_man_sn_hotfix,connext_licenses
legalshield_man_sn_hotfix,partner_integration_report
legalshield_man_sn_hotfix,connext_seats
legalshield_man_sn_hotfix,connext_packages
legalshield_man_sn_hotfix,telemetry_collector
legalshield_man_sn_hotfix,eclog
legalshield_man_sn_hotfix,legalshield_licenses
legalshield_man_sn_hotfix,pwp_user
BIF_email_sensor_daily_snapshot_to_use_0617,cas_product_feedback
etl_get_pwm_cloud_mode_user,etl_pwm_license
etl_get_pwm_cloud_mode_user,tc_unique_device
etl_get_pwm_cloud_mode_user,tm_account
etl_get_pwm_cloud_mode_user,tc_sn_device
etl_get_pwm_cloud_mode_user,pwm_feature_usage
etl_get_legalshield_metrics,connext_licenses
etl_get_legalshield_metrics,partner_integration_report
etl_get_legalshield_metrics,connext_seats
etl_get_legalshield_metrics,connext_packages
etl_get_legalshield_metrics,telemetry_collector
etl_get_legalshield_metrics,eclog
etl_get_legalshield_metrics,legalshield_licenses
etl_get_legalshield_metrics,pwp_user
etl_get_titanium_legalshield_weekly_report_metrics,partner_integration_report
CLP_WHO_USE_ZTSA_test,sase_tdl
CLP_WHO_USE_ZTSA_test,dataLakeMetrics
BIF_Service_Gateway_Appliance,CLP_Account_License
Func_Sandbox_Submission,CLP_Account_License
R2301VPN,telemetry_collector_ti
V1_Current_Onboard_Customer_Console_Usage_Employee,CLP_Account_UBT_Daily
NEW_ZTSA_IAM_Customer_wth_Enduser,sase_tdl
NEW_ZTSA_IAM_Customer_wth_Enduser,dataLakeMetrics
NEW_ZTSA_IAM_Customer_daily,sase_tdl
R2301EmailDefender,telemetry_collector_carbon
etl_get_tmms_weekly_report_metrics,country_alias
etl_get_tmms_weekly_report_metrics,mobilesecurity_user_daily
etl_get_tmms_weekly_report_metrics,connext_licenses
